prompt_id,context_bucket,trial_index,spec_k,acceptance_rate,tokens_per_sec,tokens_per_sec_ar,actual_speedup_tps_ratio,theoretical_speedup_factor,system_overhead_ratio
scale-long-01,long,0,1,1.0,24.58151744862875,52.752952384924455,0.4659742504886526,1.0,0.4659742504886526
scale-long-01,long,0,1,1.0,24.824965577606942,55.88588708893853,0.44420813322869374,1.0,0.44420813322869374
scale-long-01,long,1,1,1.0,24.18649939398509,53.20548445591753,0.4545865833441361,1.0,0.4545865833441361
scale-long-01,long,1,1,1.0,24.97021726105872,55.492558255329705,0.44997415952904807,1.0,0.44997415952904807
scale-long-02,long,0,1,1.0,24.3876961688935,53.98020421083663,0.45178962409330087,1.0,0.45178962409330087
scale-long-02,long,0,1,1.0,24.973339457823982,56.12083938335041,0.44499226547978044,1.0,0.44499226547978044
scale-long-02,long,1,1,1.0,24.14545610898228,53.38337918364712,0.45230287925232604,1.0,0.45230287925232604
scale-long-02,long,1,1,1.0,25.06984975248365,55.081016011724,0.45514501306852306,1.0,0.45514501306852306
scale-long-03,long,0,1,1.0,23.68678838910473,52.30942746672651,0.4528206393421464,1.0,0.4528206393421464
scale-long-03,long,0,1,1.0,25.3887759256873,56.022371449037074,0.45318995374523163,1.0,0.45318995374523163
scale-long-03,long,1,1,1.0,23.515897455095672,51.76315488315097,0.45429799455191544,1.0,0.45429799455191544
scale-long-03,long,1,1,1.0,25.689019120095672,56.003312637669104,0.45870534991918765,1.0,0.45870534991918765
scale-long-04,long,0,1,1.0,23.776160443099233,50.00749112217139,0.4754519754852849,1.0,0.4754519754852849
scale-long-04,long,0,1,1.0,25.300843754535727,57.04398001192566,0.4435322316087747,1.0,0.4435322316087747
scale-long-04,long,1,1,1.0,23.75294001179871,53.55288785638798,0.4435417203923088,1.0,0.4435417203923088
scale-long-04,long,1,1,1.0,25.750522143351155,56.48620052247562,0.45587279557075416,1.0,0.45587279557075416
scale-long-05,long,0,1,1.0,23.687008749019608,52.39082029329946,0.45212135668830256,1.0,0.45212135668830256
scale-long-05,long,0,1,1.0,24.88402471732796,56.282234835375654,0.4421292933749558,1.0,0.4421292933749558
scale-long-05,long,1,1,1.0,24.500254883424297,53.02821103975647,0.46202303270340184,1.0,0.46202303270340184
scale-long-05,long,1,1,1.0,24.752729141077054,57.57302090916182,0.4299362574726048,1.0,0.4299362574726048
scale-long-06,long,0,1,1.0,23.67543938543291,52.326902373930885,0.4524525303685461,1.0,0.4524525303685461
scale-long-06,long,0,1,1.0,25.291379493530687,56.63506332207304,0.44656751506930137,1.0,0.44656751506930137
scale-long-06,long,1,1,1.0,24.03074343122431,52.7579068876818,0.45549084201509776,1.0,0.45549084201509776
scale-long-06,long,1,1,1.0,24.5369528872,57.29731807582816,0.42823911678950516,1.0,0.42823911678950516
scale-long-01,long,0,3,1.0,35.13437998929361,52.752952384924455,0.6660173203753083,1.0,0.6660173203753083
scale-long-01,long,0,3,1.0,38.26986661746982,55.88588708893853,0.6847858844320744,1.0,0.6847858844320744
scale-long-01,long,1,3,1.0,35.64553248392566,53.20548445591753,0.6699597390840252,1.0,0.6699597390840252
scale-long-01,long,1,3,1.0,35.779720493749345,55.492558255329705,0.6447661023145015,1.0,0.6447661023145015
scale-long-02,long,0,3,1.0,35.791917864832094,53.98020421083663,0.663056362755419,1.0,0.663056362755419
scale-long-02,long,0,3,1.0,38.06324410335663,56.12083938335041,0.6782372559211758,1.0,0.6782372559211758
scale-long-02,long,1,3,1.0,35.660736302937686,53.38337918364712,0.668011970172574,1.0,0.668011970172574
scale-long-02,long,1,3,1.0,36.570042650375434,55.081016011724,0.663931882494533,1.0,0.663931882494533
scale-long-03,long,0,3,1.0,34.960700900088604,52.30942746672651,0.6683441703185673,1.0,0.6683441703185673
scale-long-03,long,0,3,1.0,37.179046363548544,56.022371449037074,0.6636464219900063,1.0,0.6636464219900063
scale-long-03,long,1,3,1.0,34.98393508183367,51.76315488315097,0.6758462686597378,1.0,0.6758462686597378
scale-long-03,long,1,3,1.0,37.2956761191428,56.003312637669104,0.6659548223591487,1.0,0.6659548223591487
scale-long-04,long,0,3,1.0,34.970730738743164,50.00749112217139,0.6993098424655521,1.0,0.6993098424655521
scale-long-04,long,0,3,1.0,38.298456934276494,57.04398001192566,0.6713847267716907,1.0,0.6713847267716907
scale-long-04,long,1,3,1.0,35.02294102781235,53.55288785638798,0.6539879067163077,1.0,0.6539879067163077
scale-long-04,long,1,3,1.0,37.61995652167514,56.48620052247562,0.6660026019400317,1.0,0.6660026019400317
scale-long-05,long,0,3,1.0,35.22445468334029,52.39082029329946,0.6723402017021927,1.0,0.6723402017021927
scale-long-05,long,0,3,1.0,39.209897096605104,56.282234835375654,0.6966656034767138,1.0,0.6966656034767138
scale-long-05,long,1,3,1.0,35.305009943537556,53.02821103975647,0.665777880326164,1.0,0.665777880326164
scale-long-05,long,1,3,1.0,39.019880996983986,57.57302090916182,0.6777459369128674,1.0,0.6777459369128674
scale-long-06,long,0,3,1.0,34.725927639972774,52.326902373930885,0.6636343078713013,1.0,0.6636343078713013
scale-long-06,long,0,3,1.0,37.516464804022384,56.63506332207304,0.6624246995306291,1.0,0.6624246995306291
scale-long-06,long,1,3,1.0,35.311994526043314,52.7579068876818,0.6693213701828673,1.0,0.6693213701828673
scale-long-06,long,1,3,1.0,38.80920402212641,57.29731807582816,0.6773302019261304,1.0,0.6773302019261304
scale-long-01,long,0,5,1.0,40.07000575609471,52.752952384924455,0.759578449064128,1.0,0.759578449064128
scale-long-01,long,0,5,1.0,43.13044451224357,55.88588708893853,0.7717591463405501,1.0,0.7717591463405501
scale-long-01,long,1,5,1.0,40.263776353621424,53.20548445591753,0.7567598860410955,1.0,0.7567598860410955
scale-long-01,long,1,5,1.0,44.723941092736545,55.492558255329705,0.8059448419543912,1.0,0.8059448419543912
scale-long-02,long,0,5,1.0,40.35347474880552,53.98020421083663,0.747560616688154,1.0,0.747560616688154
scale-long-02,long,0,5,1.0,44.891274766893474,56.12083938335041,0.7999038371512944,1.0,0.7999038371512944
scale-long-02,long,1,5,1.0,39.79907338305084,53.38337918364712,0.7455330477700904,1.0,0.7455330477700904
scale-long-02,long,1,5,1.0,45.71543695961729,55.081016011724,0.8299672059405504,1.0,0.8299672059405504
scale-long-03,long,0,5,1.0,39.87818212315968,52.30942746672651,0.7623517223262629,1.0,0.7623517223262629
scale-long-03,long,0,5,1.0,44.619182645298864,56.022371449037074,0.7964529435511033,1.0,0.7964529435511033
scale-long-03,long,1,5,1.0,39.97956619384482,51.76315488315097,0.7723556704395981,1.0,0.7723556704395981
scale-long-03,long,1,5,1.0,45.15299958098691,56.003312637669104,0.8062558704896319,1.0,0.8062558704896319
scale-long-04,long,0,5,1.0,39.649514695080306,50.00749112217139,0.7928715039555593,1.0,0.7928715039555593
scale-long-04,long,0,5,1.0,44.42392392343973,57.04398001192566,0.7787662066032635,1.0,0.7787662066032635
scale-long-04,long,1,5,1.0,40.1334294054098,53.55288785638798,0.7494167170411995,1.0,0.7494167170411995
scale-long-04,long,1,5,1.0,44.38206114266308,56.48620052247562,0.7857151079758613,1.0,0.7857151079758613
scale-long-05,long,0,5,1.0,39.97742469830226,52.39082029329946,0.7630616293941704,1.0,0.7630616293941704
scale-long-05,long,0,5,1.0,44.162311828561755,56.282234835375654,0.7846581067318237,1.0,0.7846581067318237
scale-long-05,long,1,5,1.0,39.66154690052314,53.02821103975647,0.747932961019333,1.0,0.747932961019333
scale-long-05,long,1,5,1.0,43.70618906122278,57.57302090916182,0.7591435775131897,1.0,0.7591435775131897
scale-long-06,long,0,5,1.0,39.612819352050366,52.326902373930885,0.7570258806641182,1.0,0.7570258806641182
scale-long-06,long,0,5,1.0,42.95208213568059,56.63506332207304,0.7584008848267745,1.0,0.7584008848267745
scale-long-06,long,1,5,1.0,39.58401313979343,52.7579068876818,0.7502953675562841,1.0,0.7502953675562841
scale-long-06,long,1,5,1.0,43.88932738550032,57.29731807582816,0.7659927001716993,1.0,0.7659927001716993
scale-long-01,long,0,7,1.0,41.16393157039354,52.752952384924455,0.7803152185688325,1.0,0.7803152185688325
scale-long-01,long,0,7,1.0,47.305925824289474,55.88588708893853,0.8464735604716331,1.0,0.8464735604716331
scale-long-01,long,1,7,1.0,43.09444784021691,53.20548445591753,0.8099625119647592,1.0,0.8099625119647592
scale-long-01,long,1,7,1.0,46.67591226049334,55.492558255329705,0.8411202101321472,1.0,0.8411202101321472
scale-long-02,long,0,7,1.0,42.2290330086449,53.98020421083663,0.7823059142886187,1.0,0.7823059142886187
scale-long-02,long,0,7,1.0,47.42043032210744,56.12083938335041,0.8449700831840347,1.0,0.8449700831840347
scale-long-02,long,1,7,1.0,38.47184683567889,53.38337918364712,0.7206708796633079,1.0,0.7206708796633079
scale-long-02,long,1,7,1.0,47.14304398820069,55.081016011724,0.8558855192171162,1.0,0.8558855192171162
scale-long-03,long,0,7,1.0,42.79489741138992,52.30942746672651,0.8181106061352194,1.0,0.8181106061352194
scale-long-03,long,0,7,1.0,45.69132353959205,56.022371449037074,0.815590671329523,1.0,0.815590671329523
scale-long-03,long,1,7,1.0,42.598828883646064,51.76315488315097,0.8229565794397143,1.0,0.8229565794397143
scale-long-03,long,1,7,1.0,45.23544177727513,56.003312637669104,0.8077279654855406,1.0,0.8077279654855406
scale-long-04,long,0,7,1.0,42.21173698798006,50.00749112217139,0.8441082733955635,1.0,0.8441082733955635
scale-long-04,long,0,7,1.0,44.72158203856024,57.04398001192566,0.7839842526627825,1.0,0.7839842526627825
scale-long-04,long,1,7,1.0,42.4790691289775,53.55288785638798,0.7932171509199096,1.0,0.7932171509199096
scale-long-04,long,1,7,1.0,46.88356356448791,56.48620052247562,0.8300003032746579,1.0,0.8300003032746579
scale-long-05,long,0,7,1.0,42.64543691526304,52.39082029329946,0.8139868144175095,1.0,0.8139868144175095
scale-long-05,long,0,7,1.0,45.620813262539826,56.282234835375654,0.8105721707032377,1.0,0.8105721707032377
scale-long-05,long,1,7,1.0,40.48686472059021,53.02821103975647,0.7634967110287065,1.0,0.7634967110287065
scale-long-05,long,1,7,1.0,45.45835320513631,57.57302090916182,0.7895773486831633,1.0,0.7895773486831633
scale-long-06,long,0,7,1.0,42.196483237749874,52.326902373930885,0.8064013217562835,1.0,0.8064013217562835
scale-long-06,long,0,7,1.0,45.44112489598142,56.63506332207304,0.8023496793420397,1.0,0.8023496793420397
scale-long-06,long,1,7,1.0,42.06347879242181,52.7579068876818,0.7972924112014577,1.0,0.7972924112014577
scale-long-06,long,1,7,1.0,44.754230054726264,57.29731807582816,0.7810876941133235,1.0,0.7810876941133235
scale-med-01,medium,0,1,1.0,24.77211684589397,56.36144654852314,0.4395223750080112,1.0,0.4395223750080112
scale-med-01,medium,0,1,1.0,26.087100553715143,59.67238009845121,0.4371721139776061,1.0,0.4371721139776061
scale-med-01,medium,1,1,1.0,24.952013379518934,56.54048940865194,0.4413122992122655,1.0,0.4413122992122655
scale-med-01,medium,1,1,1.0,25.72710374755833,58.760418292048406,0.43783050725899586,1.0,0.43783050725899586
scale-med-02,medium,0,1,1.0,24.769032832505847,55.494266088775696,0.44633499239150487,1.0,0.44633499239150487
scale-med-02,medium,0,1,1.0,25.95361241505947,58.42247629536261,0.4442401976227014,1.0,0.4442401976227014
scale-med-02,medium,1,1,1.0,24.981164241194428,56.773246076169386,0.44001648606948845,1.0,0.44001648606948845
scale-med-02,medium,1,1,1.0,26.048153076516545,59.17993217544912,0.4401517899563031,1.0,0.4401517899563031
scale-med-01,medium,0,3,1.0,36.63572808432899,56.36144654852314,0.6500139781328762,1.0,0.6500139781328762
scale-med-01,medium,0,3,1.0,39.07575348716605,59.67238009845121,0.654838191851849,1.0,0.654838191851849
scale-med-01,medium,1,3,1.0,37.41276954106943,56.54048940865194,0.6616987212591133,1.0,0.6616987212591133
scale-med-01,medium,1,3,1.0,39.0588658376254,58.760418292048406,0.664713883476744,1.0,0.664713883476744
scale-med-02,medium,0,3,1.0,37.052012354016654,55.494266088775696,0.6676728059569891,1.0,0.6676728059569891
scale-med-02,medium,0,3,1.0,39.03610507428466,58.42247629536261,0.668169299721779,1.0,0.668169299721779
scale-med-02,medium,1,3,1.0,37.38618445006802,56.773246076169386,0.6585176475537287,1.0,0.6585176475537287
scale-med-02,medium,1,3,1.0,37.940851485922195,59.17993217544912,0.6411100873424457,1.0,0.6411100873424457
scale-med-01,medium,0,5,1.0,42.438986596254466,56.36144654852314,0.7529790165998944,1.0,0.7529790165998944
scale-med-01,medium,0,5,1.0,44.94895542191507,59.67238009845121,0.7532623191459011,1.0,0.7532623191459011
scale-med-01,medium,1,5,1.0,41.749869318016465,56.54048940865194,0.7384065782711073,1.0,0.7384065782711073
scale-med-01,medium,1,5,1.0,46.58065671643448,58.760418292048406,0.7927216665633894,1.0,0.7927216665633894
scale-med-02,medium,0,5,1.0,42.319780846272664,55.494266088775696,0.7625973605736591,1.0,0.7625973605736591
scale-med-02,medium,0,5,1.0,47.20254587586755,58.42247629536261,0.8079518169895572,1.0,0.8079518169895572
scale-med-02,medium,1,5,1.0,42.44982036250725,56.773246076169386,0.7477081776433002,1.0,0.7477081776433002
