benchmark_label,mode,quantization_type,prompt_id,context_bucket,spec_k,sparsity_budget,quant_bits_effective,trial_index,fp16_dense_draft_bytes_baseline,logical_draft_kv_bytes,effective_compression_ratio,tokens_per_sec,quantization_factor_bits_over_16
spec_fp16,speculative_fp16,none,mt-012,short,1,0.0,16,2,1843200.0,1843200,1.0,76.3645752400561,
spec_fp16,speculative_fp16,none,mt-013,short,1,0.0,16,0,2801664.0,2801664,1.0,76.075136321594,
spec_fp16,speculative_fp16,none,mt-013,short,1,0.0,16,1,2801664.0,2801664,1.0,76.80603357477479,
spec_fp16,speculative_fp16,none,mt-013,short,1,0.0,16,2,2801664.0,2801664,1.0,76.57266256449041,
spec_fp16,speculative_fp16,none,mt-014,short,1,0.0,16,0,2396160.0,2396160,1.0,78.33186343590825,
spec_fp16,speculative_fp16,none,mt-014,short,1,0.0,16,1,2396160.0,2396160,1.0,75.7446643765982,
spec_fp16,speculative_fp16,none,mt-014,short,1,0.0,16,2,2396160.0,2396160,1.0,77.62798756769264,
spec_fp16,speculative_fp16,none,mt-015,short,1,0.0,16,0,2580480.0,2580480,1.0,75.8902271674513,
spec_fp16,speculative_fp16,none,mt-015,short,1,0.0,16,1,2580480.0,2580480,1.0,78.22636425605158,
spec_fp16,speculative_fp16,none,mt-015,short,1,0.0,16,2,2580480.0,2580480,1.0,76.28713744269179,
spec_fp16,speculative_fp16,none,mt-001,short,3,0.0,16,0,2027520.0,2027520,1.0,109.92221079946653,
spec_fp16,speculative_fp16,none,mt-001,short,3,0.0,16,1,2027520.0,2027520,1.0,111.0519154274236,
spec_fp16,speculative_fp16,none,mt-001,short,3,0.0,16,2,2027520.0,2027520,1.0,113.67432181758468,
spec_fp16,speculative_fp16,none,mt-002,short,3,0.0,16,0,1843200.0,1843200,1.0,113.91373549180716,
spec_fp16,speculative_fp16,none,mt-002,short,3,0.0,16,1,1843200.0,1843200,1.0,113.8124941293031,
spec_fp16,speculative_fp16,none,mt-002,short,3,0.0,16,2,1843200.0,1843200,1.0,114.14179289904402,
spec_fp16,speculative_fp16,none,mt-003,short,3,0.0,16,0,2027520.0,2027520,1.0,114.76302847640206,
spec_fp16,speculative_fp16,none,mt-003,short,3,0.0,16,1,2027520.0,2027520,1.0,113.13877640497212,
spec_fp16,speculative_fp16,none,mt-003,short,3,0.0,16,2,2027520.0,2027520,1.0,113.48626273970518,
spec_fp16,speculative_fp16,none,mt-004,short,3,0.0,16,0,1916928.0,1916928,1.0,108.47372245430805,
spec_fp16,speculative_fp16,none,mt-004,short,3,0.0,16,1,1916928.0,1916928,1.0,109.14406857769,
spec_fp16,speculative_fp16,none,mt-004,short,3,0.0,16,2,1916928.0,1916928,1.0,108.63281414249452,
spec_fp16,speculative_fp16,none,mt-005,short,3,0.0,16,0,1953792.0,1953792,1.0,115.76114506611724,
spec_fp16,speculative_fp16,none,mt-005,short,3,0.0,16,1,1953792.0,1953792,1.0,113.28874701282832,
spec_fp16,speculative_fp16,none,mt-005,short,3,0.0,16,2,1953792.0,1953792,1.0,113.64329886396796,
spec_fp16,speculative_fp16,none,mt-006,short,3,0.0,16,0,1843200.0,1843200,1.0,112.99880599458643,
spec_fp16,speculative_fp16,none,mt-006,short,3,0.0,16,1,1843200.0,1843200,1.0,112.97002821836224,
spec_fp16,speculative_fp16,none,mt-006,short,3,0.0,16,2,1843200.0,1843200,1.0,113.54889550280352,
spec_fp16,speculative_fp16,none,mt-007,short,3,0.0,16,0,1769472.0,1769472,1.0,113.03094524838048,
spec_fp16,speculative_fp16,none,mt-007,short,3,0.0,16,1,1769472.0,1769472,1.0,115.95015557901937,
spec_fp16,speculative_fp16,none,mt-007,short,3,0.0,16,2,1769472.0,1769472,1.0,114.15408769182686,
spec_fp16,speculative_fp16,none,mt-008,short,3,0.0,16,0,1732608.0,1732608,1.0,116.4284730516898,
spec_fp16,speculative_fp16,none,mt-008,short,3,0.0,16,1,1732608.0,1732608,1.0,113.42766076853152,
spec_fp16,speculative_fp16,none,mt-008,short,3,0.0,16,2,1732608.0,1732608,1.0,112.92977973008156,
spec_fp16,speculative_fp16,none,mt-009,short,3,0.0,16,0,1658880.0,1658880,1.0,101.76765746057592,
spec_fp16,speculative_fp16,none,mt-009,short,3,0.0,16,1,1658880.0,1658880,1.0,102.01826950820288,
spec_fp16,speculative_fp16,none,mt-009,short,3,0.0,16,2,1658880.0,1658880,1.0,102.29197214872062,
