mode,spec_k,sparsity_budget,quant_bits_requested,context_bucket,draft_cache_mode_resolved,n_rows,mean_latency_e2e_s,std_latency_e2e_s,mean_acceptance_rate,mean_tokens_per_sec,mean_logical_draft_kv_bytes,gpu_torch_name
autoregressive,7,0.2,4,short,n/a,3,0.04797302666668202,0.0003350928360252981,,166.76580895644287,1044480.0,NVIDIA A10G
autoregressive,7,0.2,8,short,n/a,3,0.048180041666758676,0.0002404022430267696,,166.0466172219483,1044480.0,NVIDIA A10G
autoregressive,7,0.4,16,short,n/a,3,0.04783335266669534,0.0002669661120884684,,167.2507873475494,1044480.0,NVIDIA A10G
autoregressive,7,0.4,4,short,n/a,3,0.04821569300003148,0.00040593117568521616,,165.9289238475495,1044480.0,NVIDIA A10G
autoregressive,7,0.4,8,short,n/a,3,0.048446743666697024,0.0003716041720833045,,165.13627634449696,1044480.0,NVIDIA A10G
autoregressive,7,1.0,16,short,n/a,3,0.04807247033335216,0.0005852946460282109,,166.43185361158797,1044480.0,NVIDIA A10G
autoregressive,7,1.0,4,short,n/a,3,0.04788278133336613,0.00032113254293943155,,167.0796638097688,1044480.0,NVIDIA A10G
autoregressive,7,1.0,8,short,n/a,3,0.048260781999980885,0.00033990513918786,,165.77154369663685,1044480.0,NVIDIA A10G
quant_only,1,0.1,16,short,fp16,3,0.11046926366668686,0.0005454116022583004,1.0,72.41951366945642,1081344.0,NVIDIA A10G
quant_only,1,0.1,4,short,quant_only,3,0.3647537386667257,0.10057687656421317,1.0,22.93560105807439,337920.0,NVIDIA A10G
quant_only,1,0.1,8,short,quant_only,3,0.2024102179999924,0.0007307035724695497,1.0,39.524039259355845,540768.0,NVIDIA A10G
quant_only,1,0.2,16,short,fp16,3,0.11033815266667564,0.0004430110177254837,1.0,72.5051668685198,1081344.0,NVIDIA A10G
quant_only,1,0.2,4,short,quant_only,3,0.30730301933332765,0.00145139773105017,1.0,26.033324248002963,337920.0,NVIDIA A10G
quant_only,1,0.2,8,short,quant_only,3,0.2012998066667251,0.0015275738160568627,1.0,39.74323872076554,540768.0,NVIDIA A10G
quant_only,1,0.4,16,short,fp16,3,0.10981109599996823,0.0006967492352253215,1.0,72.85434171680075,1081344.0,NVIDIA A10G
quant_only,1,0.4,4,short,quant_only,3,0.30689568966662745,0.0012472212414521735,1.0,26.067775619245197,337920.0,NVIDIA A10G
quant_only,1,0.4,8,short,quant_only,3,0.20125863566666644,0.0003064068384150202,1.0,39.74990853119461,540768.0,NVIDIA A10G
quant_only,1,1.0,16,short,fp16,3,0.11010138799997549,0.00035870286425429993,1.0,72.66081600954584,1081344.0,NVIDIA A10G
quant_only,1,1.0,4,short,quant_only,3,0.30701922799998255,0.0011917847119581643,1.0,26.057261539718294,337920.0,NVIDIA A10G
quant_only,1,1.0,8,short,quant_only,3,0.20167527633331397,0.0006496715552112735,1.0,39.66800194034995,540768.0,NVIDIA A10G
quant_only,3,0.1,16,short,fp16,3,0.10499962166666894,0.00046896233022056835,1.0,76.19176435989765,1081344.0,NVIDIA A10G
quant_only,3,0.1,4,short,quant_only,3,0.2375009193333426,0.00010098845972931503,0.9166666666666666,33.68408420036685,337920.0,NVIDIA A10G
quant_only,3,0.1,8,short,quant_only,3,0.16290504899999783,0.00019658384278785005,0.9583333333333334,49.1084089515863,540768.0,NVIDIA A10G
quant_only,3,0.2,16,short,fp16,3,0.10457789733334266,0.0005475409026094216,1.0,76.49940197897409,1081344.0,NVIDIA A10G
quant_only,3,0.2,4,short,quant_only,3,0.23830327200001497,0.0008845418650335632,0.9166666666666666,33.570975578968564,337920.0,NVIDIA A10G
quant_only,3,0.2,8,short,quant_only,3,0.1632033146666648,0.0009566138952049562,0.9583333333333334,49.01973435655553,540768.0,NVIDIA A10G
