benchmark_label,mode,spec_k,sparsity_budget,quant_bits_requested,context_bucket,draft_cache_mode_resolved,n_rows,is_parallel_verification,quantization_type,mean_latency_e2e_s,std_latency_e2e_s,mean_latency_per_new_token_s,mean_memory_throughput_gb_s,mean_gpu_peak_memory_bytes_after_run,mean_draft_latency_total_s,mean_verify_latency_total_s,mean_acceptance_rate,mean_tokens_per_sec,mean_logical_draft_kv_bytes,gpu_torch_name
ar,autoregressive,0,0.0,-1,short,n/a,3,false,none,0.176804532000002,0.22326115978805422,0.02210056650000025,29.35511905875865,276452181.3333333,,,,117.46826821206595,1044480.0,NVIDIA A10G
spec_fp16,speculative_fp16,1,0.0,16,short,fp16,3,true,none,0.11812035166666728,0.012208369988993958,0.01476504395833341,17.043650306061622,282046805.3333333,0.04778533700000409,0.05724123500000052,1.0,68.18609608944637,1081344.0,NVIDIA A10G
spec_fp16,speculative_fp16,3,0.0,16,short,fp16,3,true,none,0.1425523516666658,0.11120697258397179,0.017819043958333225,19.474164477612096,283081386.6666667,0.046444909666668366,0.08639364999999799,0.9583333333333334,77.91474584134137,1081344.0,NVIDIA A10G
spec_quant_memonly,quant_only,1,0.0,4,short,quant_only,3,true,memory_only,0.35575756133333175,0.08879736896088967,0.04446969516666647,5.8324874933875055,281313792.0,0.13370962733333158,0.05025545500000087,1.0,23.33431393912084,337920.0,NVIDIA A10G
spec_quant_memonly,quant_only,1,0.0,8,short,quant_only,3,true,memory_only,0.19978665466666712,0.0009082721176414749,0.02497333183333339,10.00926264231803,281966250.6666667,0.08174533099999574,0.0506328853333334,1.0,40.04326742176899,540768.0,NVIDIA A10G
spec_quant_memonly,quant_only,3,0.0,4,short,quant_only,3,true,memory_only,0.20935178966666732,0.0003177657414793516,0.026168973708333414,9.551817550493055,281604437.3333333,0.13291662400000112,0.022384151000001868,1.0,38.21325002442253,337920.0,NVIDIA A10G
spec_quant_memonly,quant_only,3,0.0,8,short,quant_only,3,true,memory_only,0.13763098066666637,0.003587043095420051,0.017203872583333297,14.535771933820268,282550784.0,0.08128834200000294,0.024379938333337254,0.9583333333333334,58.15239330126862,540768.0,NVIDIA A10G
