benchmark_label,tokens_per_sec,latency_e2e_s,acceptance_rate,kv_cache_verifier_mb,logical_draft_kv_bytes,sequence_length_tokens,display_name,tokens_per_sec_std_across_trials,speedup_mean,speedup_std,p_value_diff_vs_ar
ar,167.66153680127115,0.19087020035295296,,2.7647999999999997,2764800.0,76.0,AR (baseline),1.1892280989598398,,,
spec_fp16,110.50933108764512,0.30451248214705773,0.9879990432001678,2.8016639999999997,2801664.0,76.0,Spec FP16 draft,22.551172061759814,0.6591426282674101,0.13452913143337436,
spec_quant_memonly,70.06460485534201,0.5739194593284292,0.9695873378182844,2.8016639999999997,1692704.0,76.0,Spec + INT KV (Memory-Only),33.500246465391456,0.4179061166198037,0.19980837848631808,
spec_sparse,55.93182569572993,0.5727878518018196,1.0,2.733913945945946,415878.0540540541,74.16216216216216,Spec + Sparse draft,1.8036239591467123,0.3336941239089269,0.011204636254796948,
